,_id,company_size,joined,location,market,name,pitch,raised,stage,website
0,5da6c2648ecab623b505ef71,11-50,2011-03-01,Melbourne,Web Design,BugHerd,We make the best visual feedback tool for websites,1481000.0,Series A,bugherd.com
1,5da6c2648ecab623b505ef72,11-50,2011-05-01,San Francisco,Data Mining,Kaggle,World's largest data science community,11000000.0,Series A,kaggle.com
2,5da6c2648ecab623b505ef73,-,2012-01-01,Oakland,Music,Pandora,Play only music you'll love,,IPO,Pandora.com
3,5da6c2648ecab623b505ef74,501-1000,2012-03-01,Boston,Video Streaming,Brightcove,Brightcove Video Cloud is the leading online video hosting platform and video player,143000000.0,-,brightcove.com
4,5da6c2648ecab623b505ef75,-,2012-01-01,Redwood City,Advertising,YuMe,,75800000.0,IPO,yume.com
5,5da6c2648ecab623b505ef76,501-1000,2012-01-01,New York City,Advertising,Mediamath,,205376550.0,Series C,mediamath.com
6,5da6c2648ecab623b505ef77,-,2012-01-01,Cambridge,Console Gaming,Harmonix Music Systems,,,Acquired,harmonixmusic.com
7,5da6c2648ecab623b505ef78,1-10,2013-10-01,Palo Alto,Venture Capital,True Ventures,,,-,trueventures.com
8,5da6c2648ecab623b505ef79,11-50,2012-06-01,Palo Alto,Social Media Platforms,Mighty Networks,Mighty Networks is the fastest way to create and grow a community-powered brand.,11000000.0,Series A,mightynetworks.com
9,5da6c2648ecab623b505ef7a,1-10,2013-03-01,San Francisco,Startups,Rock Health,Full-service seed funding for digital health startups,,-,rockhealth.com
10,5da6c2648ecab623b505ef7b,1-10,2013-04-01,-,-,BorrowMyDoggy,,,-,
11,5da6c2648ecab623b505ef7c,51-200,2013-12-01,Seoul,Blockchains,Korbit,Korean bitcoin exchange & global payments network,3610000.0,Series A,korbit.co.kr
12,5da6c2648ecab623b505ef7d,1-10,2014-04-01,Manchester,Digital Media,haystagg,Evolving the way audiences are targeted in digital advertising,1100000.0,Seed,haystagg.com
13,5da6c2648ecab623b505ef7e,1001-5000,2014-06-01,Tempe,Technology,Oscar Health,Refactor health care to build richer connections and take the best care of our members.,1267500000.0,,hioscar.com
14,5da6c2648ecab623b505ef7f,11-50,2015-02-01,New York City,Food Tech,Local Bushel,Farm transparent sourcing for wholesale buyers.,,-,localbushel.com
15,5da6c2648ecab623b505ef80,-,2015-12-01,-,-,Little Borrowed Dress,,1250000.0,Seed,littleborroweddress.com
16,5da6c2648ecab623b505ef81,11-50,2016-01-01,San Francisco,Maps,SpotAngels,"""Waze for Parking""",,-,spotangels.com
17,5da6c2648ecab623b505ef82,,2016-01-01,New York City,Social Media Platforms,Fueled Ventures,Associate position at leading early stage VC,,-,fueled.com
18,5da6c2648ecab623b505ef83,1-10,2017-05-01,Atlanta,Technology,Fetch,Marketplace for self-service truck rental,,Seed,fetchtruck.com
